Name,Address,Description,Website,Phone,Review star
NJ State Auto Used Cars,"406 Sip AveJersey City, NJ 07306","
Used Car Dealer in Jersey City NJ ",https://www.njstateauto.com/,(201) 200-1100,4.4
Locking Wheel Nut Removal,Goldsmith AveWelshsideEngland NW9 7RJ,"
Mobile Locking Wheel Nut Removal Service ",https://www.lockingwheelnutremovers.co.uk,0800 772 3862,5.0
Valley Auto Storage,"9800 Eton AveChatsworth, CA 91311","
Valley Auto Storage is a state-of-the-art vehicle storage facility providing high-end storage solutions for storing classic, exotic and antique cars and vehicles, boats, RVs and motorcycles. Conveniently located in the San Fernando Valley in Los Angeles, our climate controlled and discreet facility is operated by an experienced team of auto enthusiasts dedicated to the storage and care of your cherished… ",https://www.valleyautostorage.com/,(818) 389-6799,1.9
Kiwi Cash For Cars Removal Christchurch,"49 shands roadHornby, Christchurch 804202151","
Kiwi cash for cars buys all type of vehicles in Christchurch ",https://kiwicashforcars.co.nz/,,4.4
American Detail,"16634 House & Hahl Rd CCypress, AZ 77433","
American Detail is located in the area of Cypress, Texas and provides top quality automotive detailing. We have over 10 years of experience in automotive detailing industry. We are the only certified master detailers validated through the International Detail Association in Houston and surrounding areas. ",https://www.americandetail.com,(832) 416-3000,5.0
All European | Auto Repair Las Vegas,"7010 W Russell RdLas Vegas, NV 89113","
All European Auto offers a full range of garage services to vehicle owners located in the Las Vegas area. All mechanic services are performed by highly qualified and experienced mechanics who are ASE Certified. All European can handle any vehicle problem that you might be faced with but our company specializes in the repair of luxury vehicles such as Mercedes… ",https://alleuropeanautorepair.com/,(702) 363-9191,4.9
Driving Test, ,"
Provides a free way to practice improving knowledge of driving with tests. ",http://www.drivingtest.ca,,—
Top Dog Car Wash, ,"
Premium car wash company offering exquisite car washes in Orlando, Altamonte Springs, Oviedo, and Kissimmee. ",https://topdogexpresscarwash.com/,,3.0
AAMCO Arizona Transmissions,AZ ,"
Provides transmission and auto repair services throughout Arizona. Includes coupons, appointment form, map and hours of service. ",http://www.aamcoarizona.com/,,—
AutoCraze, ,"
From the AutoCraze website:
Buy Mag Wheels, Rims Online, Custom Wheels, Wheel and tyres Package Save up to 50% off/u200e call now 1800 099 634 . ",https://www.autocraze.com.au/,,4.2
Gerald,IL ,"
Provides a selection of new and pre-owned Nissan, Kia, Subaru, and Hyundai vehicles in the greater Chicago area. ",http://www.geraldauto.com,,—
Jim Ellis Atlanta Auto Dealerships,GA ,"
Features new and pre-owned cars for sale made by Audi, Chevrolet, Hyundai, Mazda, Porsche, Saab, and VW. Also provides a collision center for repair services. ",http://www.jimellis.com/,,—
Merlin Auto Group,GA ,"
Provides one of the largest selections of used Ferrari's in the US. Also sells and services Maserati, Rolls-Royce, Bentley and more, delivering ultra-luxury vehicles throughout the world. ",https://www.merlinautogroup.com/,,3.4
Mini of Concord,CA ,"
MINI of Concord offers new and used MINI vehicles, along with parts and service to Concord, Pleasanton, San Francisco, Oakland, and other cities near the East Bay. ",http://www.miniofconcord.com/,,—
National Relocation Illinois,IL ,"
Featuring demographic information about the state and the cities of Illinois, such as population, parks, schools and crime rates. ",http://profiles.nationalrelocation.com/Illinois/,,—
National Relocation Texas,TX ,"
Learn about Texas demographics, population statistics, cities, national parks and crime rates. ",http://profiles.nationalrelocation.com/Texas/,,—
Superior Tire Service,OR ,"
Family-owned tire company serving a multitude of industries, families, and individuals throughout Oregon and Southwest Washington. ",http://www.superiortireservice.com,,—
SWERVE,DC ,"
Provides teen driver's education in the greater Puget Sound area. ",http://www.goswerve.com,,—
The Tire Choice & Total Car Care,FL ,"
Offers auto repairs and services as well as tires from brands including Michelin, Pirelli, Yokohama and Bridgestone. ",http://www.thetirechoice.com,,—
Windshield Replacement Phoenix,AZ ,"
Provides auto glass repair in the state of Arizona. ",http://www.windshield-replacement.com,,—
Cash For Cars San Francisco,CA ,"
Informs users how they can receive cash for used vehicles. ",http://cashforcarssanfrancisco.com/,,—
Cash for Used Cars,CA ,"
Allows drivers to sell old and used junk cars for cash. ",http://www.cashforusedcarssandiego.com/,,—
Fort Collins Muffler and Automotive,CO ,"
Provides car care, repairs, and maintenance in Fort Collins. ",http://fcmuffler.com,,—
GIC Car Clinic,CA ,"
Full service shop with ASE-certified mechanics providing auto repair services for all makes and models. ",http://autorepairshopsanjose.com/,,—
Auto Mart, ,"
Offers used car classifieds in Africa. Includes brands such as Toyota, BMW, Ford, and Nissan. ",https://www.automart.co.za/,,—
Auto Selling Solutions, ,"
Nationwide company specializing in purchasing used cars and trucks. ",http://autosellingsolutions.com/,,—
Cash for Car.org, ,"
Offers used car buying services throughout the United States. ",http://www.cashforcar.org,,—
"Cheap Car Insurance: Oakland, California Agent Directory",CA ,"
Includes a searchable index of agencies in NYC with an option to obtain quotes over the internet. ",http://www.cheapcarinsurance.net/oakland-california-car-insurance.html,,—
Dale's Auto Mart, ,"
Offers used cars purchased for cash and free vehicle appraisals. ",http://www.dalesautomart.com,,—
Deco Windshield Repair, ,"
Provides windshield chip and crack repair services with locations throughout Canada. ",http://www.decorepair.com,,—
Dreyer & Reinbold Infinity,IN ,"
Dreyer & Reinbold Infinity in Indiana has not provided an about us on their business. ",http://www.dreyerreinboldinfiniti.com/,,—
EasyAutoSales.com, ,"
Listings of used cars for sale with video and photos from dealerships and private sellers. ",http://www.easyautosales.com,,—
Eli's Auto Body,CA ,"
From the Eli's Auto Body website:
Looking for the best auto body shop in the Los Angeles area? Eli/u2019s Collision Repair has been operating for over 40 years and offers six locations for area drivers to choose from. Get your vehicle repaired the right way when you choose Eli/u2019s Collision Repair. ",https://elisautobody.com/,,—
German Auto Center,TX ,"
From the German Auto Center website:
Providing BMW, Audi, Mercedes, Porsche, VW &amp; MINI repairs in Austin, TX since 1979. Book an appointment online for faster service today! ",http://germanautocenter.com/,,—
Industrial Tire Service,OR ,"
From the Industrial Tire Service website:
Industrial Tire Service is a tire and auto repair shop in Portland OR, Seattle WA, Tacoma WA, Roseburg OR, White City Or, &amp; Arlington, OR. Save at Industrial Tire Service! ",http://www.industrialtire.com,,—
J-Mac Complete Car Care,UT ,"
From the J-Mac Complete Car Care website:
Salt Lake City Radiator Repair and Service &#45; The Cooling System Experts. J&#45;Mac Radiator is a complete automotive cooling and radiator repair shop. We'll help you get your car back on the road quickly and at labor rates you can afford! ",http://jmaccarcare.com/,,—
Just Good Cars, ,"
Worldwide portal for new and used cars. Services allow the user to buy and sell used cars, find spare parts and obtain insurance quotes. ",http://www.justgoodcars.com/,,—
Lief Johnson Superstore,TX ,"
From the Lief Johnson Superstore website:
Austin, TX dealer offering great prices and friendly service to every customer. We serve Austin and the surrounding areas. Come to us for used cars, parts, service, and more. | 501 E Koenig Ln Austin, TX 78751 | (512) 454-3711 ",https://www.iwanttobuyused.com/,,—
Mike Kelly Hyundai,PA ,"
From the Mike Kelly Hyundai website:
Mike Kelly Hyundai is your source for new Hyundais and used cars in Butler, PA. We're proud to offer one of the best auto service departments in the county and have everything to fit your automotive needs. Browse our full inventory online and then come down for a test drive. ",http://www.mikekellyhyundai.com,,—
National Relocation Massachusetts,MA ,"
National Relocation Massachusetts in Massachusetts has not provided an about us on their business. ",http://profiles.nationalrelocation.com/Massachusetts/,,—
Park Place Texas,TX ,"
Park Place Texas in Texas has not provided an about us on their business. ",http://www.parkplacetexas.com,,—
